SITE,Waterbody,Year,LATITUDE,LONGITUDE,Easting,Northing,TMEAN,TRANGE,Altitude,Slope,Discharge,Dist_from_Source,Alkalinity,Mean_Width,Mean_Depth,Boulder_Cobbles,Pebbles_Gravel,Sand,Silt_Clay,lat_raw,lon_raw,EG7,EG43
1005,Rother,1980,51,-0.88,478300,123300,10.23,12.75,40,1.8,2,12,126,10.4,19,51,42,3,4,192078.3646,412869.186,5,35
1007,Rother,1980,51,-0.77,486300,122600,10.13,12.63,25,1.3,4,20,126,11.5,18.4,40,56,4,0,192078.3646,418593.0233,5,35
1009,Rother,1980,50.98,-0.67,493500,121300,10.09,12.6,10,0.9,4,30,113.5,9.8,39.1,56,22,16,7,190008.5179,423796.5116,5,35
1011,Rother,1980,50.95,-0.53,503400,117800,10.17,12.65,5,0.9,5,50,113.9,20.2,34.8,24,62,14,0,186903.7479,431081.3953,5,36
1013,Arun,1980,51.05,-0.31,518700,129200,9.98,12.81,40,2.5,1,6,47.8,4.1,11.7,19,70,6,4,197252.9813,442529.0698,6,40
1081,Hammer's Pond Tributary,1980,51.05,-0.23,524200,129300,9.99,12.82,90,7.1,1,0.3,22.8,1.3,9.4,0,33,10,57,197252.9813,446691.8605,4,30
1083,Rother,1980,51.07,-0.93,474900,130700,10.27,12.88,95,1.7,1,1.3,247.5,2.6,16.6,31,51,12,6,199322.8279,410267.4419,4,27
1101,Dudwell,1980,50.98,0.36,565500,122400,10.17,12.83,46,6,2,5,73.1,3,8.3,0,98,0,2,190008.5179,477392.4419,5,31
1105,Brede/Line,1980,50.93,0.54,578300,117700,10.39,12.58,16,0.7,1,9,74.3,4,9,5,93,0,2,184833.9012,486758.7209,NA,NA
1109,Rother,1980,51.01,0.45,572000,126200,10.05,12.84,18,1.8,4,12,94.5,10,23.9,8,8,1,84,193113.2879,482075.5814,5,31
1111,Rother,1980,50.99,0.52,577100,124300,10.2,12.91,5,0.5,4,19,94.6,7,26.7,68,2,2,28,191043.4412,485718.0233,5,36
1113,Rother,1980,51.01,0.64,585000,127000,10.25,12.87,4,0.5,4,29,102.4,30,190.1,0,0,0,100,193113.2879,491962.2093,7,43
1201,Evenlode,1980,51.98,-1.71,420200,231200,10.34,13.21,127,4.6,1,3,215.3,2,17.2,3,29,17,51,293500.8518,369680.2326,6,39
1203,Evenlode,1980,51.95,-1.68,422000,228100,10.36,13.24,115,1.4,2,8,215.3,4.5,16.1,7,54,29,10,290396.0818,371241.2791,6,38
1207,Evenlode,1980,51.85,-1.47,436600,217300,10.28,13.26,87,1.1,4,30,314.1,13,23.7,31,45,17,7,280046.8484,382168.6047,5,35
1209,Evenlode,1980,51.79,-1.35,444800,210200,10.18,13.15,61,0.9,5,46,216.6,9.5,71.6,29,37,19,15,273837.3083,388412.7907,5,36
1301,Tilling Bourne,1980,51.21,-0.38,513000,147000,10.16,13.15,137,12,1,4,83.4,2.3,16.1,0,54,4,42,213811.7547,438886.6279,6,39
1303,Tilling Bourne,1980,51.22,-0.49,505300,147900,10.15,13.27,65,6,1,12,83.4,6,31,0,66,23,11,214846.678,433162.7907,6,39
1305,Wey,1980,51.17,-0.92,475600,141700,10.28,13.08,90,2,3,9,179.2,9.2,23.9,1,77,3,20,209672.0613,410787.7907,5,36
1307,Wey,1980,51.19,-0.75,487300,143700,10.19,13.1,51,1,5,24,179.2,7.3,54.8,0,37,43,20,211741.908,419633.7209,5,35
1309,Wey,1980,51.19,-0.64,494700,143800,10.15,13.14,40,0.4,5,35,133.2,10,40.2,1,63,14,23,211741.908,425357.5581,5,35
1311,Wey,1980,51.27,-0.56,500500,153200,10.29,13.42,26,0.4,6,50,136.3,20,43.7,3,94,2,1,220021.2947,429520.3488,5,35
1403,Mimram,1980,51.85,-0.25,520800,218000,10.01,13.23,70,2.5,1,8,249,5.5,35,0,29,11,60,280046.8484,445651.1628,6,38
1405,Mimram,1980,51.8,-0.14,528200,213400,10.05,13.34,50,1.1,2,17,249,8.6,61.7,3,29,21,48,274872.2317,451375,6,38
1407,Lee,1980,51.81,-0.02,536500,214300,10.03,13.29,20,0.9,5,24,249,10.4,20.9,13,73,9,4,275907.155,457619.186,NA,NA
1409,Lee,1980,51.75,0.01,538400,207600,10.11,13.46,15,0.7,5,32,249,21.7,195.9,0,89,7,4,269697.615,459180.2326,7,42
1411,Lee,1980,51.72,-0.01,537400,204400,10.14,13.51,14,0.7,5,36,249,23.5,37.2,9,86,0,5,266592.845,458139.5349,7,41
1413,Lee,1980,51.67,-0.01,537400,198300,10.4,13.6,7,0.7,6,44,252,16.7,36.9,5,85,3,7,261418.2283,458139.5349,7,42
1501,Gwendraeth Fach,1980,51.83,-4.11,254300,216300,10.24,11.33,100,20,1,5,139.5,7,6.6,68,27,3,2,277977.0017,244796.5116,4,27
1503,Gwendraeth Fach,1980,51.8,-4.23,246000,213900,10.33,11.29,44,2,4,12,139.5,7.2,15.7,11,63,16,9,274872.2317,238552.3256,5,31
1505,Gwendraeth Fach,1980,51.75,-4.29,241900,207700,10.59,11.27,12,5,4,23,139.5,7.1,23.7,88,11,1,0,269697.615,235430.2326,5,31
1601,Teifi,1980,52.28,-3.83,274900,265900,9.99,11.14,195,2.4,2,5,19.6,7.8,10,89,10,0,1,324548.552,259366.2791,3,25
1603,Teifi,1980,52.25,-3.93,268400,262800,9.99,10.94,160,1,5,13,32,9.7,77.6,0,53,33,14,321443.7819,254162.7907,5,31
1605,Teifi,1980,52.17,-3.99,264200,254700,10,11.04,140,1.4,6,22,32,23.8,31.1,63,33,0,4,313164.3952,251040.6977,3,17
1607,Teifi,1980,52.09,-4.16,252300,245400,9.99,10.9,85,1.1,7,38,39.7,19.8,40,82,16,2,0,304885.0085,242194.7674,5,31
1609,Teifi,1980,52.04,-4.37,237300,240300,10.08,10.65,55,2.7,7,56,46.9,23,42.2,61,38,0,1,299710.3918,231267.4419,3,17
1611,Teifi,1980,52.06,-4.6,221700,243700,10.25,10.24,7,1.4,8,74,57.8,50.1,39.3,48,51,0,1,301780.2385,219299.4186,5,31
1701,Clwyd,1980,53.03,-3.43,304000,348800,9.58,11.38,224,15,2,5,112.3,3.4,24,69,24,4,3,402167.8024,280180.2326,3,26
1703,Clwyd,1980,53.06,-3.33,310900,351900,9.6,11.55,122,6,2,15,112.3,4.6,17.3,12,84,3,1,405272.5724,285383.7209,3,21
1705,Clwyd,1980,53.1,-3.31,312400,357100,9.6,11.47,63,4,4,24,112.3,12.3,14,20,63,13,4,409412.2658,286424.4186,3,21
1707,Clwyd,1980,53.18,-3.36,309100,365800,9.73,11.32,28,1.4,5,37,112.3,14.3,34.1,10,76,10,4,417691.6525,283822.6744,3,21
1709,Clwyd,1980,53.24,-3.41,306000,371900,9.91,11.29,15,1.9,6,47,112.3,19.7,23.2,5,83,8,5,423901.1925,281220.9302,3,21
1807,Leadon,1980,51.97,-2.39,373000,230700,10.39,12.74,30,3.3,3,23,260.3,7.3,8.9,7,76,10,7,292465.9284,334296.5116,6,38
1809,Leadon,1980,51.94,-2.33,377000,227000,10.44,12.74,14,1.2,4,34,262.3,6.9,37.4,9,13,31,48,289361.1584,337418.6047,7,41
1901,Perry,1980,52.87,-2.97,334700,330200,10.02,12.21,84,1.4,2,4,217,5.1,34.4,9,61,8,23,385609.029,304116.2791,6,38
1903,Perry,1980,52.86,-2.93,337400,329400,10.02,12.23,79,1.4,3,8,206,5.2,25.3,11,70,10,9,384574.1056,306197.6744,5,35
1907,Perry,1980,52.78,-2.86,342200,321000,9.99,12.37,72,1.1,4,20,213,11.3,22.1,18,50,11,21,376294.7189,309840.1163,NA,NA
1909,Perry,1980,52.75,-2.83,343900,317100,9.99,12.47,61,0.5,4,25,208,7.5,15.1,11,59,15,15,373189.9489,311401.1628,5,35
2001,Blithe,1980,52.99,-2.09,394200,343500,9.67,12.56,180,10,1,4,95,1,9,2,78,15,5,398028.109,349906.9767,NA,NA
2003,Blithe,1980,52.95,-2.04,397500,339300,9.6,12.55,155,3,2,9,162,5,8.3,11,67,21,2,393888.4157,352508.7209,5,35
2005,Blithe,1980,52.9,-1.96,402400,333400,9.54,12.53,125,2.7,3,18,161,7,11.9,3,68,6,23,388713.799,356671.5116,5,36
