"sample_id","site_id","date_id","latitude","longitude","brt20","brt12","richness","ta7"
"site_00054_date_00253_ebro",54,253,2147085.262,3589753.261,"RT18","RT11",34,"E"
"site_00055_date_00003_monitoring_portugual",55,3,1818050.671,2682846.79,"RT12","RT11",19,NA
"site_00055_date_00015_ebro",55,15,2132647.808,3588019.479,"RT12","RT11",17,NA
"site_00055_date_00016_aqem_Sweden",55,16,4549285.734,4554824.912,"RT12","RT09",16,NA
"site_00056_date_00011_pepe_barquin",56,11,2357683.147,3124975.667,"RT12","RT07",37,NA
"site_00056_date_00016_aqem_Sweden",56,16,4547351.645,4542870.68,"RT12","RT08",16,NA
"site_00056_date_00716_ebro",56,716,2173746.913,3523495.859,"RT12","RT11",24,NA
"site_00057_date_00011_pepe_barquin",57,11,2364411.91,3116654.801,"RT18","RT07",41,"E"
"site_00057_date_00742_ebro",57,742,2172101.047,3575867.144,"RT18","RT11",28,"E"
"site_00058_date_00011_pepe_barquin",58,11,2357228.974,3121857.59,"RT18","RT07",37,"E"
"site_00058_date_00016_ebro",58,16,2164532.909,3568581.438,"RT18","RT11",28,"E"
"site_00059_date_00003_monitoring_portugual",59,3,1904824.588,2733829.741,"RT18","RT12",26,"E"
"site_00059_date_00252_ebro",59,252,2132623.945,3563151.335,"RT18","RT11",33,"E"
"site_00060_date_00013_pepe_barquin",60,13,2347610.939,3112908.73,"RT14","RT10",31,"G"
"site_00060_date_00016_ebro",60,16,2178089.423,3583531.83,"RT14","RT10",25,"G"
"site_00061_date_00261_ebro",61,261,2171675.25,3527287.952,"RT18","RT11",32,"E"
"site_00061_date_00631_monitoring_uk",61,631,3280726.055,3477311.296,"RT18","RT02",30,"E"
"site_00062_date_00013_pepe_barquin",62,13,2346921.613,3113632.254,"RT18","RT10",38,"E"
"site_00062_date_00342_ebro",62,342,2163164.99,3513672.503,"RT18","RT11",37,"E"
"site_00063_date_00014_pepe_barquin",63,14,2350886.293,3092157.416,"RT19","RT08",42,NA
"site_00063_date_00029_wiser",63,29,2879239.3,4733745.08,"RT19","RT08",44,NA
"site_00063_date_00050_monitoring_finnland",63,50,4412649.563,5243399.385,"RT19","RT04",22,NA
"site_00063_date_00335_ebro",63,335,2134358.399,3574962.279,"RT19","RT12",46,NA
"site_00064_date_00012_pepe_barquin",64,12,2345270.223,3121737.067,"RT20","RT08",33,NA
"site_00064_date_00017_ebro",64,17,2200138.068,3547899.466,"RT20","RT10",29,NA
"site_00064_date_00041_rcs",64,41,3051712.383,3724853.836,"RT20","RT03",53,NA
"site_00064_date_00140_aqem_romania",64,140,2632377.119,5244082.999,"RT20","RT12",36,NA
"site_00065_date_00013_pepe_barquin",65,13,2351895.221,3114712.799,"RT5","RT08",28,"D"
"site_00065_date_00028_naiades",65,28,3051739.125,3728149.123,"RT5","RT03",29,"D"
"site_00066_date_00011_pepe_barquin",66,11,2352991.71,3127571.105,"RT20","RT07",34,NA
"site_00066_date_00041_naiades",66,41,2735938.887,3921201.027,"RT20","RT07",28,NA
"site_00066_date_00092_aqem_romania",66,92,2679960.08,5301217.704,"RT20","RT12",56,NA
"site_00066_date_00261_ebro",66,261,2180090.558,3524869.697,"RT20","RT11",23,NA
"site_00067_date_00006_monitoring_greece",67,6,1953504.011,5325588.812,"RT18","RT11",13,"E"
"site_00067_date_00014_pepe_barquin",67,14,2348904.529,3092409.786,"RT18","RT08",29,"E"
"site_00068_date_00014_pepe_barquin",68,14,2347474.269,3102828.077,"RT14","RT09",40,"G"
"site_00068_date_00251_ebro",68,251,2223495.241,3551455.901,"RT14","RT10",27,"G"
"site_00069_date_00019_aqem_Sweden",69,19,4661660.958,4521903.375,"RT9","RT09",11,"F"
"site_00070_date_00019_aqem_Sweden",70,19,4659480.328,4535040.955,"RT9","RT09",11,"F"
"site_00070_date_00057_naiades",70,57,2784721.976,3901737.522,"RT9","RT02",51,"F"
"site_00071_date_00020_aqem_Sweden",71,20,4666781.434,4525851.359,"RT9","RT09",10,"F"
"site_00074_date_00020_aqem_Sweden",74,20,4670076.123,4531996.445,"RT14","RT10",10,"G"
"site_00074_date_00034_wiser",74,34,2752121.026,4570517.055,"RT14","RT06",49,"G"
"site_00075_date_00396_ebro",75,396,2025260.111,3498179.893,"RT19","RT12",33,NA
"site_00076_date_00041_monitoring_finnland",76,41,4422234.092,5178384.502,"RT2","RT04",31,"B"
"site_00076_date_00532_monitoring_poland",76,532,3449756.427,5160219.367,"RT2","RT02",14,"B"
"site_00077_date_00262_ebro",77,262,2141149.905,3504342.247,"RT18","RT11",31,"E"
"site_00078_date_00260_ebro",78,260,2159470.295,3510723.094,"RT18","RT11",39,"E"
"site_00080_date_00003_monitoring_portugual",80,3,2276383.587,2779745.165,"RT18","RT05",25,"E"
"site_00080_date_00018_ebro",80,18,2163706.164,3512802.895,"RT18","RT11",29,"E"
"site_00083_date_00003_monitoring_portugual",83,3,2247911.051,2825695.081,"RT19","RT12",21,NA
"site_00084_date_00259_ebro",84,259,2098244.903,3514518.521,"RT17","RT11",29,NA
"site_00086_date_00051_naiades",86,51,2682948.616,3861450.354,"RT17","RT08",53,NA
"site_00086_date_00339_ebro",86,339,2118337.683,3495477.013,"RT17","RT11",23,NA
"site_00087_date_00009_monitoring_greece",87,9,1923798.034,5339870.595,"RT17","RT11",27,NA
"site_00089_date_00009_monitoring_greece",89,9,1936743.798,5340608.294,"RT14","RT10",25,"G"
"site_00090_date_00546_monitoring_poland",90,546,3410025.096,5124908.998,"RT1","RT01",12,"A"
"site_00091_date_00009_monitoring_greece",91,9,1891905.4,5311585.182,"RT19","RT12",15,NA
"site_00091_date_00112_naiades",91,112,2705357.945,3851477.848,"RT19","RT03",33,NA
"site_00091_date_00289_ebro",91,289,2259344.796,3280804.904,"RT19","RT12",16,NA
"site_00092_date_00114_naiades",92,114,2707952.197,3842963.034,"RT5","RT03",27,"D"
"site_00093_date_00069_monitoring_finnland",93,69,4464343.562,5226751.969,"RT2","RT04",36,"B"
"site_00095_date_00005_rcs",95,5,2853439.438,4131381.183,"RT2","RT04",37,"B"
"site_00097_date_00057_rcs",97,57,2853439.438,4131381.183,"RT4","RT04",42,"D"
"site_00097_date_00279_monitoring_poland",97,279,3085276.787,5155026.271,"RT4","RT02",16,"D"
"site_00099_date_00318_monitoring_poland",99,318,3098926.94,5164218.02,"RT3","RT05",17,"C"
"site_00102_date_00269_ebro",102,269,2228484.903,3388255.579,"RT18","RT11",34,"E"
"site_00103_date_00010_monitoring_greece",103,10,2139990.017,5558585.277,"RT18","RT11",21,"E"
"site_00103_date_00268_ebro",103,268,2246694.722,3408178.46,"RT18","RT11",32,"E"
"site_00104_date_00001_naiades",104,1,2779109.641,3815972.11,"RT18","RT02",55,"E"
"site_00104_date_00269_ebro",104,269,2231305.487,3395565.179,"RT18","RT11",19,"E"
"site_00105_date_00024_ebro",105,24,2182198.909,3575134.99,"RT18","RT11",34,"E"
"site_00105_date_00050_wiser",105,50,2749864.652,4731976.936,"RT18","RT10",46,"E"
"site_00106_date_00010_monitoring_greece",106,10,2134626.628,5563765.289,"RT14","RT11",26,"G"
"site_00106_date_00247_ebro",106,247,2196792,3598071.075,"RT14","RT10",25,"G"
"site_00107_date_00010_monitoring_greece",107,10,2130253.644,5565904.905,"RT14","RT11",13,"G"
"site_00107_date_00050_wiser",107,50,2739219.508,4746608.564,"RT14","RT06",46,"G"
"site_00107_date_00247_ebro",107,247,2210118.439,3602593.653,"RT14","RT10",42,"G"
"site_00108_date_00010_monitoring_greece",108,10,2124460.818,5572266.142,"RT14","RT11",12,"G"
"site_00108_date_00051_wiser",108,51,2750651.92,4756063.061,"RT14","RT06",51,"G"
"site_00108_date_00247_ebro",108,247,2200743.877,3606411.574,"RT14","RT10",36,"G"
"site_00109_date_00010_monitoring_greece",109,10,2126939.037,5570839.196,"RT17","RT11",11,NA
"site_00110_date_00104_naiades",110,104,2709704.901,3873624.314,"RT14","RT09",34,"G"
"site_00110_date_00538_ebro",110,538,2228276.187,3561264.372,"RT14","RT10",21,"G"
"site_00111_date_00166_naiades",111,166,2721665.994,3869805.122,"RT14","RT09",55,"G"
"site_00111_date_00248_ebro",111,248,2218241.715,3590017.221,"RT14","RT10",32,"G"
"site_00112_date_00003_monitoring_portugual",112,3,2202118.385,2951836.182,"RT17","RT11",29,NA
"site_00112_date_00010_monitoring_greece",112,10,2153059.205,5569028.297,"RT17","RT11",19,NA
"site_00112_date_00053_wiser",112,53,2761338.207,4696259.713,"RT17","RT06",43,NA
"site_00112_date_00167_naiades",112,167,2718229.324,3875159.521,"RT17","RT09",50,NA
"site_00113_date_00010_monitoring_greece",113,10,2150713.845,5578262.572,"RT17","RT11",24,NA
"site_00113_date_00054_wiser",113,54,2756018.394,4716451.896,"RT17","RT06",30,NA
"site_00114_date_00054_wiser",114,54,2759472.023,4717285.795,"RT10","RT06",50,"E"
"site_00115_date_00054_wiser",115,54,2765456.859,4714762.579,"RT18","RT06",35,"E"
"site_00115_date_00174_naiades",115,174,2701153.138,3861868.636,"RT18","RT09",33,"E"
"site_00115_date_00260_ebro",115,260,2162947.443,3551307.855,"RT18","RT11",36,"E"
"site_00116_date_00003_monitoring_portugual",116,3,2163314.426,2798848.45,"RT14","RT11",29,"G"
"site_00116_date_00055_wiser",116,55,2769151.564,4709625.923,"RT14","RT06",49,"G"
"site_00116_date_00175_naiades",116,175,2710862.017,3861272.233,"RT14","RT08",48,"G"
"site_00116_date_00250_ebro",116,250,2196625.152,3560521.74,"RT14","RT10",32,"G"
"site_00116_date_00298_monitoring_poland",116,298,3099491.098,5163104.134,"RT14","RT04",14,"G"
"site_00117_date_00249_ebro",117,249,2206691.293,3560002.049,"RT14","RT10",36,"G"
"site_00118_date_00010_monitoring_greece",118,10,2143153.993,5578795.579,"RT14","RT11",23,"G"
"site_00118_date_00347_ebro",118,347,2202087.712,3565629.907,"RT14","RT10",35,"G"
"site_00119_date_00003_monitoring_portugual",119,3,2175893.39,2774593.212,"RT17","RT05",38,NA
"site_00119_date_00010_monitoring_greece",119,10,2132893.345,5593710.962,"RT17","RT11",10,NA
"site_00119_date_00179_naiades",119,179,2720055.943,3852101.038,"RT17","RT05",49,NA
"site_00121_date_00010_monitoring_greece",121,10,2126325.788,5597592.155,"RT17","RT11",14,NA
"site_00121_date_00041_monitoring_poland",121,41,3042514.089,5131371.632,"RT17","RT02",17,NA
"site_00121_date_00252_ebro",121,252,2112866.562,3548030.23,"RT17","RT11",27,NA
"site_00122_date_00003_monitoring_portugual",122,3,2087515.682,2881659.849,"RT19","RT12",35,NA
"site_00124_date_00070_rcs",124,70,2826400.7,4106263.25,"RT4","RT09",45,"D"
"site_00126_date_00030_rcs",126,30,2826400.7,4106263.25,"RT11","RT09",50,"E"
"site_00126_date_00148_naiades",126,148,2733218.769,3873646.042,"RT11","RT07",48,"E"
"site_00127_date_00071_rcs",127,71,2826400.7,4106263.25,"RT10","RT09",48,"E"
"site_00128_date_00072_rcs",128,72,2826400.7,4106263.25,"RT9","RT09",49,"F"
"site_00132_date_00075_rcs",132,75,2830505.411,4079467.632,"RT11","RT07",46,"E"
"site_00134_date_00029_ebro",134,29,2161585.693,3342373.47,"RT19","RT12",38,NA
"site_00134_date_00062_wiser",134,62,2772014,4721661.454,"RT19","RT07",45,NA
"site_00135_date_00003_monitoring_portugual",135,3,2231202.991,2907864.865,"RT10","RT11",38,"E"
"site_00135_date_00047_monitoring_poland",135,47,2990232.689,5196564.629,"RT10","RT06",21,"E"
"site_00135_date_00062_wiser",135,62,2778454.54,4720555.309,"RT10","RT07",48,"E"
"site_00136_date_00299_ebro",136,299,2183582.041,3336424.877,"RT18","RT11",38,"E"
"site_00137_date_00029_ebro",137,29,2302541.16,3277716.123,"RT15","RT10",35,"G"
"site_00138_date_00003_monitoring_portugual",138,3,2229871.04,2844791.921,"RT10","RT12",49,"E"
"site_00138_date_00251_aqem_romania",138,251,2528590.219,5250679.245,"RT10","RT06",37,"E"
"site_00140_date_00020_monitoring_poland",140,20,3091593.024,5261456.258,"RT18","RT06",25,"E"
"site_00140_date_00062_wiser",140,62,2771405.647,4716615.327,"RT18","RT07",43,"E"
"site_00141_date_00001_rcs",141,1,2874756.738,4013609.065,"RT10","RT07",46,"E"
"site_00141_date_00062_wiser",141,62,2778164.345,4719491.502,"RT10","RT07",47,"E"
"site_00141_date_00271_monitoring_poland",141,271,3106426.631,5251927.606,"RT10","RT07",19,"E"
"site_00141_date_00374_ebro",141,374,2301619.427,3292515.154,"RT10","RT06",36,"E"
"site_00142_date_00003_monitoring_portugual",142,3,2204514.751,2819005.945,"RT19","RT12",33,NA
"site_00142_date_00066_rcs",142,66,2874756.738,4013609.065,"RT19","RT07",45,NA
"site_00143_date_00081_rcs",143,81,2874756.738,4013609.065,"RT4","RT07",53,"D"
"site_00144_date_00049_rcs",144,49,2874756.738,4013609.065,"RT4","RT07",43,"D"
"site_00145_date_00044_naiades",145,44,2788625.777,3769627.117,"RT4","RT02",45,"D"
"site_00145_date_00052_monitoring_poland",145,52,3083034.281,5215195.947,"RT4","RT02",22,"D"
"site_00146_date_00053_monitoring_poland",146,53,3352271.694,5125561.043,"RT1","RT01",23,"A"
