"sample","HC5_aj","lower","upper","chem","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","RT_AF","richness","ta7"
"site_00003_date_00007_miljodata_sweden",141.48101723822,86.7901238176592,247.822167527632,"ATZ",3,7,6633334,662893,"RT7",NA,"RT02",NA,69,NA
"site_00003_date_00350_ebro",182.796141142017,113.370106130001,325.541236027211,"ATZ",3,350,2216591.29108727,3518010.03429072,"RT15","RT14_15_16","RT10",NA,32,"G"
"site_00004_date_00001_pepe_barquin",145.783106148536,77.1156097608096,289.395304103676,"ATZ",4,1,2339125.97226749,3220087.11588119,"RT18","RT8_10_11_18","RT02",NA,34,"E"
"site_00004_date_00003_rcs",197.306022604794,74.9373283987863,642.430838088106,"ATZ",4,3,3032228.40281279,3885951.60966809,"RT18","RT8_10_11_18","RT05",NA,23,"E"
"site_00004_date_00011_miljodata_sweden",407.578943944118,94.0718162632631,3070.33452346722,"ATZ",4,11,6654684,536934,"RT6",NA,"RT05",NA,5,NA
"site_00004_date_00261_ebro",177.413561919924,112.124414178888,281.721059230216,"ATZ",4,261,2208671.8531193,3511185.17878758,"RT18","RT8_10_11_18","RT11",NA,44,"E"
"site_00005_date_00001_pepe_barquin",134.813362832608,80.3453808321109,242.955926838266,"ATZ",5,1,2339748.2224939,3226989.63810476,"RT15","RT14_15_16","RT02",NA,48,"G"
"site_00005_date_00010_miljodata_sweden",135.18076226156,80.3505213410477,235.919847616065,"ATZ",5,10,6669695,540709,"RT3",NA,"RT05",NA,46,"C"
"site_00005_date_00350_ebro",186.248067500555,114.122372083721,302.040159972396,"ATZ",5,350,2215548.82340067,3518962.65619797,"RT15","RT14_15_16","RT10",NA,37,"G"
"site_00006_date_00001_pepe_barquin",145.055391915983,76.0074457928462,300.73816891249,"ATZ",6,1,2337790.73144599,3232323.63783154,"RT5","RT4_5","RT02",NA,41,"D"
"site_00006_date_00012_naiades",138.326822196174,61.1701066815926,347.145104895625,"ATZ",6,12,2995709.97933164,3818744.72007728,"RT5","RT4_5","RT03",NA,32,"D"
"site_00006_date_00015_miljodata_sweden",302.716296915798,115.150866593625,1157.01798219855,"ATZ",6,15,6724037,424887,"RT12",NA,"RT09",NA,8,NA
"site_00007_date_00001_pepe_barquin",143.435613751737,75.3882059425955,290.442820552374,"ATZ",7,1,2340249.42440817,3234041.87390298,"RT4","RT4_5","RT02",NA,45,"D"
"site_00007_date_00018_miljodata_sweden",141.734838569616,79.5015504236492,265.676480177451,"ATZ",7,18,6640666,407015,"RT12",NA,"RT09",NA,33,NA
"site_00008_date_00001_pepe_barquin",140.361265272476,78.1250558973561,267.766544190734,"ATZ",8,1,2346487.7054425,3236435.95593302,"RT18","RT8_10_11_18","RT02",NA,46,"E"
"site_00008_date_00022_miljodata_sweden",177.435253508625,55.1572389552646,815.136033917435,"ATZ",8,22,7085765,660807,"RT12",NA,"RT08",NA,12,NA
"site_00008_date_00351_ebro",149.141687779166,79.6414838567946,302.844186733127,"ATZ",8,351,2198712.48309118,3509609.30834693,"RT18","RT8_10_11_18","RT11",NA,31,"E"
"site_00009_date_00025_miljodata_sweden",290.356027548766,84.1037131804248,1855.95110960229,"ATZ",9,25,7048754,630861,"RT12",NA,"RT08",NA,5,NA
"site_00009_date_00351_ebro",155.161731906862,94.6010218581964,276.499849483834,"ATZ",9,351,2198574.40734863,3509367.91853541,"RT18","RT8_10_11_18","RT11",NA,31,"E"
"site_00010_date_00026_miljodata_sweden",95.5172133488834,46.2481927797302,190.489917839082,"ATZ",10,26,6650914,620487,"RT7",NA,"RT02",NA,40,NA
"site_00010_date_00341_ebro",242.071308891896,160.512160364617,389.558716577781,"ATZ",10,341,2184203.96505,3511792.95077042,"RT18","RT8_10_11_18","RT11",NA,27,"E"
"site_00011_date_00009_monitoring_croatia",149.687709466287,58.7770782110744,528.542225834672,"ATZ",11,9,2451165.93092429,4638116.68241622,"RT14","RT14_15_16","RT11",NA,14,"G"
"site_00011_date_00029_miljodata_sweden",218.055287703726,148.579795662139,320.182493880988,"ATZ",11,29,6233634,461425,"RT6",NA,"RT04",NA,51,NA
"site_00012_date_00033_miljodata_sweden",121.471324917811,70.3044792968848,245.156004824687,"ATZ",12,33,7513674,788304,"RT9",NA,"RT09",NA,37,"F"
"site_00012_date_00264_monitoring_poland",84.2438191211278,31.2610851986679,302.227317228192,"ATZ",12,264,3436701.74181583,5105037.65225598,"RT18","RT8_10_11_18","RT02",NA,24,"E"
"site_00012_date_00267_ebro",123.753141349744,50.0156844654818,357.905114723887,"ATZ",12,267,2236545.70500385,3401977.90755403,"RT18","RT8_10_11_18","RT11",NA,26,"E"
"site_00013_date_00036_miljodata_sweden",97.683289428205,51.8107852588148,207.575553751696,"ATZ",13,36,6988354,627371,"RT6",NA,"RT04",NA,37,NA
"site_00013_date_00268_ebro",136.578512763587,83.1725167983089,235.417465414188,"ATZ",13,268,2245162.26817088,3420414.76293964,"RT18","RT8_10_11_18","RT11",NA,37,"E"
"site_00014_date_00025_miljodata_sweden",233.823422407639,33.1125888877126,3050.4124652846,"ATZ",14,25,6329472,349541,"RT6",NA,"RT04",NA,7,NA
"site_00014_date_00246_miljodata_sweden",71.978254932431,29.1801004820457,216.963863578051,"ATZ",14,246,6285092,409469,"RT6",NA,"RT04",NA,27,NA
"site_00014_date_00363_ebro",144.756161302661,84.0933730540802,261.109511670157,"ATZ",14,363,2237137.16444344,3418705.70898143,"RT18","RT8_10_11_18","RT11",NA,41,"E"
"site_00014_date_00534_monitoring_poland",115.842452684079,35.6278325405591,461.580907082527,"ATZ",14,534,3412067.03712823,5109396.29689258,"RT18","RT8_10_11_18","RT02",NA,22,"E"
"site_00015_date_00019_naiades",151.053042699697,44.2215942318799,590.575820510915,"ATZ",15,19,3032229.40881534,3885955.06028517,"RT18","RT8_10_11_18","RT05",NA,18,"E"
"site_00015_date_00044_miljodata_sweden",118.041411669441,35.5771595873606,493.767887498531,"ATZ",15,44,7586022,643552,"RT9",NA,"RT09",NA,14,"F"
"site_00015_date_00362_ebro",176.457962980324,119.757691954436,284.567426681218,"ATZ",15,362,2232782.78666034,3434016.88173034,"RT18","RT8_10_11_18","RT11",NA,44,"E"
"site_00016_date_00022_miljodata_sweden",296.601523584173,91.7155516575489,1416.24129011673,"ATZ",16,22,6242312,522150,"RT6",NA,"RT05",NA,7,NA
