"sample_id","site_id","date_id","latitude","longitude","brt20","brt20_aggregate","brt12","richness"
"site_00537_date_00003_monitoring_portugual","00537","0003",1912694.24508572,2726236.81867803,"RT20","RT20","RT12",22
"site_00539_date_00003_monitoring_portugual","00539","0003",1901436.40220512,2758880.85573875,"RT20","RT20","RT12",18
"site_00543_date_00027_naiades","00543","0027",2738752.32571574,3787988.14106971,"RT4","RT4_5","RT02",46
"site_00548_date_00003_monitoring_portugual","00548","0003",1869375.22700985,2703173.49429463,"RT19","RT19","RT12",37
"site_00550_date_00022_naiades","00550","0022",2779311.49863333,3745401.44460405,"RT3","RT3","RT05",26
"site_00553_date_00003_monitoring_portugual","00553","0003",1813297.12228042,2681227.17522522,"RT17","RT17","RT11",14
"site_00554_date_00003_monitoring_portugual","00554","0003",1811410.55281097,2682357.92976502,"RT2","RT2","RT11",10
"site_00554_date_00108_monitoring_poland","00554","0108",3370552.14774134,4705838.13262134,"RT2","RT2","RT04",20
"site_00555_date_00495_naiades","00555","0495",2787171.58666345,3731699.69098976,"RT2","RT2","RT04",43
"site_00559_date_00003_monitoring_portugual","00559","0003",1846179.44531854,2710806.00749037,"RT17","RT17","RT11",16
"site_00560_date_00003_monitoring_portugual","00560","0003",1837979.02269687,2710847.56637816,"RT17","RT17","RT11",14
"site_00561_date_00003_monitoring_portugual","00561","0003",1840864.09900971,2706270.47814701,"RT17","RT17","RT11",16
"site_00562_date_00003_monitoring_portugual","00562","0003",1820625.45667797,2709012.71032336,"RT17","RT17","RT11",22
"site_00562_date_00015_naiades","00562","0015",2750261.06364676,3728823.67290835,"RT17","RT17","RT05",49
"site_00563_date_00003_monitoring_portugual","00563","0003",1828233.20190377,2710455.01184499,"RT17","RT17","RT11",18
"site_00563_date_00236_naiades","00563","0236",2753159.33924531,3720796.32941665,"RT17","RT17","RT05",54
"site_00564_date_00777_naiades","00564","0777",2751180.76116668,3714018.48645176,"RT17","RT17","RT05",39
"site_00565_date_00006_naiades","00565","0006",2747833.19698797,3717046.96546681,"RT17","RT17","RT05",29
