"Kingdom","Phylum_division","Subphylum","Superclass","Class","Order","Family","Genus","Latin"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","clinotanypus","unknown (clinotanypus genus)"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","paratendipes","paratendipes nudisquama"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","labrundinia","unknown (labrundinia genus)"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","leptoceridae","erotesis","erotesis baltica"
"animalia","arthropoda",NA,NA,"insecta","diptera","chironomidae","pseudodiamesa","unknown (pseudodiamesa genus)"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","dytiscidae","boreonectes","boreonectes multilineatus"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","apataniidae","apatania","apatania wallengreni"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","glossosomatidae","glossosoma","glossosoma intermedium"
"animalia","nematomorpha","unknown (nematomorpha phylum)","unknown (nematomorpha phylum)","gordioida","gordioidea","unknown (gordioidea order)","unknown (gordioidea order)","unknown (gordioidea order)"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","naididae","piguetiella","piguetiella blanci"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","leptoceridae","ceraclea","ceraclea perplexa"
"animalia","chordata",NA,NA,"actinopterygii","scorpaeniformes","cottidae","cottus","cottus gobio"
"animalia","chordata",NA,NA,"actinopterygii","cypriniformes","cyprinidae","phoxinus","phoxinus phoxinus"
"animalia","arthropoda",NA,NA,"insecta","coleoptera","dytiscidae","oreodytes","oreodytes alpinus"
"animalia","arthropoda",NA,NA,"arachnida","araneae","tetragnathidae","tetragnatha","tetragnatha extensa"
"animalia","arthropoda",NA,NA,"malacostraca","isopoda","chaetiliidae","saduria","saduria entomon"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","apataniidae","apatania","apatania auricula"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","limnephilidae","limnephilus","limnephilus pantodapus"
"animalia","arthropoda",NA,NA,"insecta","odonata","libellulidae","leucorrhinia","leucorrhinia caudalis"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","apataniidae","apatania","apatania hispida"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","limnephilidae","stenophylax","stenophylax permistus"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","beraeidae","beraea","beraea maurus"
"animalia","mollusca",NA,NA,"bivalvia","unionoida","unionidae","unio","unio crassus"
"animalia","arthropoda",NA,NA,"insecta","lepidoptera","crambidae","elophila","elophila nymphaeata"
"animalia","arthropoda",NA,NA,"insecta","ephemeroptera","unknown (ephemeroptera order)","unknown (ephemeroptera order)","unknown (ephemeroptera order)"
"animalia","annelida",NA,NA,"oligochaeta","haplotaxida","tubificidae","ilyodrilus","ilyodrilus templetoni"
"animalia","annelida",NA,NA,"clitellata","lumbriculida","lumbriculidae","lamprodrilus","lamprodrilus isoporus"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","lepidostomatidae","crunoecia","crunoecia irrorata"
"animalia","nemertea","unknown (nemertea phylum)","unknown (nemertea phylum)","hoplonemertea","monostilifera","prostomatidae","prostoma","prostoma graecense"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","apataniidae","apatania","apatania muliebris"
"animalia","arthropoda",NA,NA,"insecta","megaloptera","sialidae","sialis","sialis morio"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","beraeidae","beraea","beraea pullata"
"animalia","annelida",NA,NA,"clitellata","lumbriculida","lumbriculidae","rhynchelmis","rhynchelmis tetratheca"
"animalia","arthropoda",NA,NA,"malacostraca","amphipoda","gammaridae","gammarus","gammarus oceanicus"
"animalia","arthropoda",NA,NA,"insecta","plecoptera","capniidae","capnia","capnia pygmaea"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","limnephilidae","limnephilus","limnephilus algosus"
"animalia","arthropoda",NA,NA,"insecta","trichoptera","limnephilidae","pseudostenophylax","pseudostenophylax incisus"
